accession,species
CP065010,Candidatus Falkowbacteria bacterium
CP156063,Chlamydia trachomatis
CP001275,Thermomicrobium roseum DSM 5159
NZ_CP010206,Escherichia coli
NZ_CP009498,Endomicrobium proavitum
NZ_CP176591,Campylobacter lari
CP070993,Candidatus Kaiserbacteria bacterium
CP129474,Minisyncoccota bacterium
CP006913,candidate division SR1 bacterium RAAC1_SR1_1
CP050848,Planctomycetales bacterium ZRK34
NZ_CP019384,Candidatus Velamenicoccus archaeovorus
NZ_CP180159,Klebsiella michiganensis
CP030356,Salinibacter ruber
CP001146,Dictyoglomus thermophilum H-6-12
CP064993,Candidatus Saccharimonadota bacterium
CP060223,Candidatus Nomurabacteria bacterium
CP179891,Candidatus Nealsonbacteria bacterium
NZ_AP017459,Candidatus Endomicrobiellum trichonymphae
CP064968,Candidatus Kaiserbacteria bacterium
CP071382,Geobacter benzoatilyticus
CP178619,Bdellovibrio sp. HCB288
CP064989,Candidatus Moraniibacteriota bacterium
NZ_CP043493,Archangium violaceum
CP064962,Candidatus Peregrinibacteria bacterium
CP054184,Nitrospira sp.
NZ_CP030840,Acidisarcina polymorpha
NZ_CP061839,Treponema pedis
CP036295,Desulfovibrio desulfuricans
CP064959,Candidatus Saccharimonadota bacterium
CP177357,Rubrivirga sp. IMCC45206
NZ_CP068224,Sphingobacterium multivorum
NZ_CP129197,Malacoplasma iowae
NZ_CP012332,Vulgatibacter incomptus
CP053085,Gemmatimonas groenlandica
CP054189,Chthonomonadaceae bacterium
NZ_CP036557,Borrelia miyamotoi
NZ_CP092060,Listeria monocytogenes
NZ_CP130613,Pseudogemmatithrix spongiicola
CP049016,Nitrospirales bacterium LBB_01
NZ_AP024937,Thermus thermophilus
NZ_CP121689,Thermatribacter velox
CP076324,Aquificota bacterium
CP050699,Desulfosediminicola ganghwensis
NZ_AP014510,Thermotoga profunda AZM34c06
CP114555,Candidatus Manganitrophus sp.
CP065009,Candidatus Peregrinibacteria bacterium
NZ_CP106855,Bdellovibrio sp. SKB1291214
NZ_AP022671,Nitrospira sp. KM1
CP048685,Candidatus Nitronauta litoralis
NZ_CP029703,Akkermansia muciniphila
NZ_CP014229,Desulfovibrio fairfieldensis
NZ_CP114720,Borrelia miyamotoi
CP133659,Nitratidesulfovibrio liaohensis
CP058602,Candidatus Woesebacteria bacterium
NZ_CP041005,Salmonella enterica
NZ_CP166122,Chlamydia trachomatis
NZ_CP144380,Gaopeijia maritima
NZ_CP027206,Chlamydia muridarum str. Nigg
CP129486,Bdellovibrionota bacterium
AP029158,Candidatus Parcubacteria bacterium
CP064986,Fibrobacterota bacterium
CP058732,Candidatus Kapaibacterium sp.
CP006914,candidate division WWE3 bacterium RAAC2_WWE3_1
NZ_CP007028,Thermocrinis ruber
NZ_CP030361,Salinibacter ruber
CP054059,Candidatus Absconditicoccus praedator
NZ_CP169425,Salinibacter ruber
CP132910,Geothrix sp. 21YS21S-2
CP179892,Candidatus Nealsonbacteria bacterium
NZ_AP028803,Atrimonas thermophila
CP117180,Hydrogenobacter sp. T-2
CP133089,Aminobacterium sp. MB27-C1
CP035108,Geovibrio thiophilus
NZ_CP177357,Rubrivirga sp. IMCC45206
CP065014,Chlorobiota bacterium
NZ_CP011387,Deinococcus puniceus
CP129343,Synechocystis sp. PCC 6803 substr. GT-T
NZ_CP133038,Pyramidobacter sp. YE332
CP001968,Denitrovibrio acetiphilus DSM 12809
NZ_CP007389,Thermosipho melanesiensis
NZ_CP017332,Mycoplasmoides pneumoniae
NZ_CP155447,Singulisphaera sp. Ch08
CP130613,Pseudogemmatithrix spongiicola
NZ_CP133775,Mucilaginibacter sp. 5C4
NZ_CP048114,Edaphobacter sp. 12200R-103
CP121689,Thermatribacter velox
CP166121,Chlamydia trachomatis
NZ_CP146064,Candidatus Nanosynbacter sp. BB002
NZ_CP150481,Neptunicella sp. SCSIO 80796
NZ_CP017174,Myxococcus xanthus
CP115149,Tepidiforma flava
CP001130,Hydrogenobaculum sp. Y04AAS1
CP179887,Candidatus Nealsonbacteria bacterium
CP069362,Marinitoga aeolica
NZ_CP144381,Mycoplasmopsis agalactiae
NZ_CP061961,Klebsiella pneumoniae
CP036425,Poriferisphaera corsica
CP179935,Deferribacteres bacterium DY0609
CP064963,Candidatus Melainabacteria bacterium
NZ_CP178543,Capilliphycus salinus ALCB114379
CP064973,Candidatus Nomurabacteria bacterium
NZ_CP046928,Brachyspira hyodysenteriae
NZ_AP024926,Thermus thermophilus
NZ_CP176813,Desulfurobacterium thermolithotrophum
CP060226,Candidatus Peribacteria bacterium
NZ_CP020921,Thermodesulfobium acidiphilum
NZ_CP084144,Fusobacterium animalis
NZ_CP014334,Fervidobacterium islandicum
NZ_CP097562,Mucispirillum schaedleri ASF457
NZ_CP017305,Chlorobaculum limnaeum
NZ_CP115165,Deinococcus aquaticus
CP123622,Pigmentibacter sp. JX0631
NZ_CP141062,Faecalibacter sp. LW9
CP169960,Borrelia recurrentis
NZ_CP087381,Desulfovibrio subterraneus
CP060227,Candidatus Nomurabacteria bacterium
CP065004,Candidatus Roizmanbacteria bacterium
NZ_CP077112,Fusobacterium polymorphum
CP179890,Candidatus Nealsonbacteria bacterium
NZ_CP007128,Gemmatirosa kalamazoonensis
NZ_AP027079,Geothrix oryzae
CP178622,Bdellovibrio sp. HCB117
CP055308,Candidatus Woesebacteria bacterium
CP130454,Candidatus Fervidibacter sacchari
NZ_CP074448,Enterobacter asburiae
CP027806,Cyclonatronum proteinivorum
CP076323,Hydrogenobacter thermophilus
CP001110,Pelodictyon phaeoclathratiforme BU-1
CP060233,Candidatus Nomurabacteria bacterium
CP159307,Dehalogenimonas sp. 4OHTPN
NZ_CP030034,Bdellovibrio sp. NC01
CP129557,Staphylococcus aureus
CP180709,Mycobacterium tuberculosis
CP064975,Candidatus Moraniibacteriota bacterium
NZ_CP137851,Archangium violaceum
NZ_CP174166,Mesomycoplasma moatsii
AP012051,Caldisericum exile AZM16c01
CP060225,Candidatus Peribacteria bacterium
CP179889,Candidatus Nealsonbacteria bacterium
NZ_CP144687,Thermus thermophilus
NZ_CP181330,Curtobacterium flaccumfaciens pv. flaccumfaciens
CP064974,Candidatus Moraniibacteriota bacterium
NZ_CP140098,Deinococcus sp. AB2017081
NZ_CP029494,Deinococcus irradiatisoli
NZ_CP070225,Sandaracinus amylolyticus
NZ_CP138962,Synechococcus sp. MIT S9501
NZ_CP089520,Candidatus Nanosynbacter sp. HMT-352
CP129491,Ignavibacteriaceae bacterium
CP103952,Chlamydia psittaci
NZ_CP137850,Mycoplasmopsis verecunda
NZ_CP138975,Prochlorococcus sp. MIT 1205
NZ_AP014722,Dehalococcoides sp. UCH007
CP011210,Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16
NZ_CP018099,Caldithrix abyssi DSM 13497
AP024681,Candidatus Parcubacteria bacterium
NZ_CP011060,Borrelia hermsii CC1
CP011209,Candidatus Wolfebacteria bacterium GW2011_GWB1_47_1
NZ_CP130454,Candidatus Fervidibacter sacchari
NZ_CP010904,Kiritimatiella glycovorans
NZ_CP089929,Pendulispora rubella
NZ_AP025523,Vulcanimicrobium alpinum
CP180384,Bifidobacterium animalis subsp. lactis
NZ_CP011232,Kosmotoga pacifica
NZ_CP116968,Candidatus Nitrospira neomarina
NZ_CP007139,Fimbriimonas ginsengisoli Gsoil 348
NZ_CP176805,Flavobacterium psychrophilum
NZ_CP038800,Treponema denticola
NZ_CP035108,Geovibrio thiophilus
NZ_CP058981,Winogradskyella sp. HaHa_3_26
NZ_CP116967,Candidatus Nitrospira allomarina
CP042461,Candidatus Gracilibacteria bacterium 28_42_T64
CP030361,Salinibacter ruber
CP020921,Thermodesulfobium acidiphilum
NZ_CP169364,Mycoplasmoides pneumoniae
CP034928,Candidatus Bipolaricaulis sibiricus
NZ_CP114598,Akkermansia muciniphila
CP030840,Acidisarcina polymorpha
CP119760,Lentisphaerota bacterium ZTH
NZ_AP025739,Capsulimonas corticalis
NZ_CP011273,Planctomyces sp. SH-PL62
CP129485,Anaerolineales bacterium
NZ_CP047593,Tichowtungia aerotolerans
CP060501,Nitrospira sp.
CP126501,Fervidobacterium gondwanense
NZ_CP141771,Helicobacter pylori
NZ_CP117986,Bacillus sp. N3378-2at
NZ_CP121196,Telmatobacter sp. DSM 110680
CP130612,Pseudogemmatithrix spongiicola
NZ_CP137547,Chlamydia psittaci
NZ_CP072019,Akkermansia massiliensis
NZ_AP028346,Campylobacter jejuni
NZ_CP109619,Treponema denticola
CP176530,Pseudobdellovibrio sp. HCB154
NZ_CP175953,Gracilimonas sediminicola
NZ_CP080401,Chlamydia pecorum
AP024152,Abditibacteriota bacterium
CP001080,Sulfurihydrogenibium sp. YO3AOP1
CP001097,Chlorobium limicola DSM 245
NZ_CP136680,Cellulosimicrobium sp. SJTW-1
CP129494,Fimbriimonadaceae bacterium
NZ_CP140394,Campylobacter jejuni
NZ_CP130612,Pseudogemmatithrix spongiicola
CP126498,Fervidobacterium gondwanense
NZ_CP071888,Akkermansia muciniphila
CP175953,Gracilimonas sediminicola
NZ_CP033512,Malacoplasma iowae 695
CP039998,Candidatus Saccharibacteria bacterium oral taxon 488
NZ_CP065629,Brevibacterium casei
CP120722,Kiritimatiellota bacterium B12222
CP084704,Desulfurispirillum indicum
NZ_CP120067,Staphylococcus aureus
NZ_CP168306,Desulfovibrio aminophilus
NZ_CP020873,Prosthecochloris sp. HL-130-GSB
CP065001,Ignavibacteriales bacterium
CP176583,Campylobacter lari
CP001251,Dictyoglomus turgidum DSM 6724
